number,value,datetime_start,datetime_complete,duration,params_factor,params_hidden_size,params_learning_rate,params_min_delta,params_num_epochs,params_num_layers,params_patience_epochs,params_patience_lr,params_threshold,params_weight_decay,state
0,3.4420735836029053,2024-08-22 00:56:47.581443,2024-08-22 00:56:58.337074,0 days 00:00:10.755631,0.20973321955052504,273,0.005404074888543363,5.1677366828043385e-05,74,3,2,3,0.009950244226350609,0.000359048367891609,COMPLETE
1,1.074379801750183,2024-08-22 00:56:58.337834,2024-08-22 00:59:43.959136,0 days 00:02:45.621302,0.31423116880897006,132,0.00023492873091142578,0.0009222922123407561,70,4,4,7,0.007329343336303261,4.152085985511018e-05,COMPLETE
2,0.9463502168655396,2024-08-22 00:59:43.960016,2024-08-22 01:01:36.025211,0 days 00:01:52.065195,0.4336208244132661,174,0.0013971301738290318,1.6129233858771663e-05,77,2,6,3,0.007401210675547513,0.0001660049911735511,COMPLETE
3,3.4147632122039795,2024-08-22 01:01:36.026317,2024-08-22 01:02:50.991890,0 days 00:01:14.965573,0.19175068060554265,264,0.003132060659552689,0.0002675549718992651,31,4,9,4,0.00011447038176321842,0.0007899955520945865,COMPLETE
4,1.4072113037109375,2024-08-22 01:02:50.992778,2024-08-22 01:04:17.499348,0 days 00:01:26.506570,0.49383725511753396,167,0.0014907427954908557,0.006430432053968517,47,3,8,6,0.005986885946112725,0.0006603457773730682,COMPLETE
5,1.1224838495254517,2024-08-22 01:04:17.500071,2024-08-22 01:06:30.414768,0 days 00:02:12.914697,0.4797070763384169,154,0.00044533461259561717,0.0015084003649204268,52,4,7,10,0.0074185518554045655,2.5914614865323447e-05,COMPLETE
6,2.6188981533050537,2024-08-22 01:06:30.415672,2024-08-22 01:07:33.374146,0 days 00:01:02.958474,0.46094286734963374,93,0.00038961015710624173,0.0001356194888913115,74,3,2,8,0.004771900693261886,0.00010842576087856344,COMPLETE
7,1225.404296875,2024-08-22 01:07:33.375214,2024-08-22 01:08:46.556616,0 days 00:01:13.181402,0.46939900917753385,59,7.912610925951081e-05,0.005254454463623395,34,3,7,9,0.0009084803024713774,2.1176659245579176e-05,COMPLETE
8,1.2783459424972534,2024-08-22 01:08:46.557343,2024-08-22 01:12:23.237193,0 days 00:03:36.679850,0.10103696949021508,220,7.212463480004654e-05,0.0006876287899856656,89,3,8,4,0.00042190473717981195,0.0009170989339058257,COMPLETE
9,3.3463616371154785,2024-08-22 01:12:23.238446,2024-08-22 01:12:51.561112,0 days 00:00:28.322666,0.17487759944669062,119,0.006998040153013741,0.005613857875198757,95,4,9,7,0.008602733561262885,0.00039316133266601474,COMPLETE
10,2132.48828125,2024-08-22 01:12:51.562068,2024-08-22 01:13:15.070433,0 days 00:00:23.508365,0.3514888231894,207,1.7636799677398276e-05,1.2853550736751885e-05,11,2,5,3,0.0035228946028751516,0.00011714359851658189,COMPLETE
11,1.0099363327026367,2024-08-22 01:13:15.071132,2024-08-22 01:14:53.250577,0 days 00:01:38.179445,0.35637814659640676,127,0.0010217431569423741,1.3241559674318904e-05,71,2,4,6,0.0068806228277762125,3.995102525205738e-05,COMPLETE
12,1.0098665952682495,2024-08-22 01:14:53.251317,2024-08-22 01:16:06.281368,0 days 00:01:13.030051,0.3927679734916725,207,0.0012845464166445458,1.4855599172695608e-05,65,2,4,5,0.005973528988858275,5.6109293300937005e-05,COMPLETE
13,0.921646237373352,2024-08-22 01:16:06.282610,2024-08-22 01:17:59.788442,0 days 00:01:53.505832,0.3941247851443337,211,0.001561101701032641,4.33392211666905e-05,61,2,5,2,0.004029855901775021,0.00017838744345101594,COMPLETE
14,1.0138386487960815,2024-08-22 01:17:59.789207,2024-08-22 01:20:33.018255,0 days 00:02:33.229048,0.4237419727335741,233,0.00368549956415629,4.189736333614191e-05,84,2,6,2,0.0035892628678425536,0.0002120519966643783,COMPLETE
15,0.9722198843955994,2024-08-22 01:20:33.018960,2024-08-22 01:22:35.767152,0 days 00:02:02.748192,0.27301247434043996,297,0.0008248090737652978,5.4020922757537496e-05,58,2,6,2,0.002664838034791229,0.00019446587374760238,COMPLETE
16,3.3703269958496094,2024-08-22 01:22:35.768064,2024-08-22 01:22:52.012239,0 days 00:00:16.244175,0.4144716620556709,187,0.009809961467471973,0.00011706750751678539,100,2,5,2,0.004554407209367896,0.00019888200488989846,COMPLETE
17,1.98131263256073,2024-08-22 01:22:52.013076,2024-08-22 01:24:08.539105,0 days 00:01:16.526029,0.2848989866967456,249,0.00013880876036715745,2.776883757361376e-05,42,2,10,4,0.0019542429450853075,1.25610378065001e-05,COMPLETE
18,1.2048730850219727,2024-08-22 01:24:08.539791,2024-08-22 01:25:58.896271,0 days 00:01:50.356480,0.37302114018396065,180,0.0027548428260350376,0.00011605837145744117,82,2,3,3,0.008505669300360548,7.233237146335878e-05,COMPLETE
19,1827.7191162109375,2024-08-22 01:25:58.897223,2024-08-22 01:27:58.113226,0 days 00:01:59.216003,0.4311249697339074,147,1.0663330958417843e-05,2.2806304682371416e-05,61,3,5,5,0.005656637837570645,0.0003707230471092843,COMPLETE
20,2.5173721313476562,2024-08-22 01:27:58.114064,2024-08-22 01:28:26.126907,0 days 00:00:28.012843,0.33242943093368804,181,0.0020060060770165744,0.0002232630491415988,15,2,7,3,0.003900999482115252,0.00014996868242671895,COMPLETE
21,0.9476528167724609,2024-08-22 01:28:26.127737,2024-08-22 01:30:27.946505,0 days 00:02:01.818768,0.2705581946557143,294,0.0006894111540844229,5.486172190683655e-05,57,2,6,2,0.001927726389778786,0.00022353412911193212,COMPLETE
22,0.9457767605781555,2024-08-22 01:30:27.947335,2024-08-22 01:32:22.851758,0 days 00:01:54.904423,0.23413357803795776,291,0.0007272892890023611,6.768637228255875e-05,53,2,6,2,0.0018004759351335153,0.00025087359910963634,COMPLETE
23,1.0985050201416016,2024-08-22 01:32:22.852623,2024-08-22 01:33:38.018276,0 days 00:01:15.165653,0.24007510823635964,239,0.0005919430147254366,2.5594599501000057e-05,40,2,5,2,0.002439940764848427,0.00029957223138311976,COMPLETE
24,1.3801201581954956,2024-08-22 01:33:38.019098,2024-08-22 01:35:16.810978,0 days 00:01:38.791880,0.16283004672941379,202,0.0002323841055990905,8.03856896197905e-05,51,2,6,3,0.0013675285915137132,0.0005119889940221802,COMPLETE
25,0.9901050925254822,2024-08-22 01:35:16.811922,2024-08-22 01:36:32.291109,0 days 00:01:15.479187,0.23855060243693407,262,0.0019101789508453476,2.9838305851267172e-05,81,2,3,5,0.002977654126144413,9.104426882943e-05,COMPLETE
26,1.0017671585083008,2024-08-22 01:36:32.292271,2024-08-22 01:39:06.586521,0 days 00:02:34.294250,0.44746380089827675,280,0.0009914308011415764,1.0571464627851368e-05,65,3,7,4,0.004232054574104371,0.0001424013300046487,COMPLETE
27,1.074480652809143,2024-08-22 01:39:06.587398,2024-08-22 01:41:00.133562,0 days 00:01:53.546164,0.39773968545449107,100,0.0002741132556999359,0.0005339925142807912,64,2,8,2,0.00834147302088862,0.00027416549317971797,COMPLETE
28,2.827716112136841,2024-08-22 01:41:00.134303,2024-08-22 01:41:38.862285,0 days 00:00:38.727982,0.10834428617468067,219,0.004130186150221597,1.952796879227247e-05,24,2,5,3,0.0053247313052266244,0.0004914101331800453,COMPLETE
29,3.2106664180755615,2024-08-22 01:41:38.863107,2024-08-22 01:41:57.904236,0 days 00:00:19.041129,0.3159365606006266,251,0.001989976409822785,7.61513130699236e-05,76,3,3,3,0.003075744601042682,7.723582944351886e-05,COMPLETE
30,3.361933946609497,2024-08-22 01:41:57.905079,2024-08-22 01:42:21.067086,0 days 00:00:23.162007,0.2342309638993206,162,0.005619348627773013,4.1512581960606595e-05,48,3,4,4,0.006444109244868045,0.00015265196060438408,COMPLETE
31,0.9652339220046997,2024-08-22 01:42:21.067782,2024-08-22 01:44:23.444870,0 days 00:02:02.377088,0.2658971389710931,300,0.0005446490727885858,5.630648154774571e-05,56,2,6,2,0.009648724949994438,0.00028293910375806535,COMPLETE
32,0.9771534204483032,2024-08-22 01:44:23.445813,2024-08-22 01:46:49.538225,0 days 00:02:26.092412,0.2138682601664511,285,0.000665222230479228,0.00015694441333215106,68,2,6,2,0.001580858019510025,0.0002160907759153238,COMPLETE
33,1.1453542709350586,2024-08-22 01:46:49.539050,2024-08-22 01:48:59.834126,0 days 00:02:10.295076,0.30662886568839415,270,0.0001585584887219321,7.629504540315183e-05,58,2,6,3,0.0017493568949893516,0.0001426475895967651,COMPLETE
34,0.9313936233520508,2024-08-22 01:48:59.835027,2024-08-22 01:50:32.175442,0 days 00:01:32.340415,0.2578528860303067,292,0.0012851508096692963,3.811075844369367e-05,42,2,7,2,0.0020841748328986583,0.0005290622226934044,COMPLETE
35,1.0078779458999634,2024-08-22 01:50:32.176320,2024-08-22 01:51:46.354177,0 days 00:01:14.177857,0.14529947174173977,141,0.0014562581692999337,0.00038973495898142,41,2,7,2,0.0007439650857948184,0.0006097459330531579,COMPLETE
36,1.3623206615447998,2024-08-22 01:51:46.354942,2024-08-22 01:52:45.096863,0 days 00:00:58.741921,0.4974957888942253,255,0.0031122131574358417,3.8076282423161625e-05,31,2,8,4,0.0023025400074961765,0.0007189510814694462,COMPLETE
37,1.0233125686645508,2024-08-22 01:52:45.097549,2024-08-22 01:54:47.160944,0 days 00:02:02.063395,0.21674696362469958,276,0.0003442411495263077,1.83856343050198e-05,45,4,9,3,0.005196026260935309,0.00043330009031259027,COMPLETE
38,1.6798441410064697,2024-08-22 01:54:47.161867,2024-08-22 01:55:51.146401,0 days 00:01:03.984534,0.45166463628480175,226,0.0012704026418032567,0.00023500835787556806,25,3,7,2,0.001187438264351829,0.0002664591544480275,COMPLETE
39,1.1069773435592651,2024-08-22 01:55:51.147270,2024-08-22 01:57:38.170486,0 days 00:01:47.023216,0.3275724223117392,197,0.002173720176949329,0.0018762235127366262,52,2,5,8,0.007767253895162568,0.0009991662748005303,COMPLETE
40,1.3981868028640747,2024-08-22 01:57:38.171367,2024-08-22 01:58:53.157726,0 days 00:01:14.986359,0.18622432436707914,167,0.0005026193375344926,3.391893173218683e-05,36,3,7,4,0.009588849145115277,0.0003486699058358973,COMPLETE
41,0.9436318278312683,2024-08-22 01:58:53.158394,2024-08-22 02:01:38.219534,0 days 00:02:45.061140,0.26529518293624565,289,0.0007931398228743674,6.239909975166373e-05,76,2,6,2,0.001986189100738458,0.00017493103877011046,COMPLETE
42,0.9392504692077637,2024-08-22 02:01:38.220321,2024-08-22 02:04:23.401346,0 days 00:02:45.181025,0.2437185655851872,284,0.001089401675550041,7.030574591499055e-05,77,2,8,2,0.0031625828415461485,0.00010238116218260992,COMPLETE
43,0.9284517168998718,2024-08-22 02:04:23.402294,2024-08-22 02:06:27.605343,0 days 00:02:04.203049,0.25123018924304485,267,0.0010019778592575493,0.00016545895713529672,73,2,8,10,0.003206892109407951,9.833748910314704e-05,COMPLETE
44,0.9528934359550476,2024-08-22 02:06:27.606287,2024-08-22 02:08:38.311342,0 days 00:02:10.705055,0.29118157611811,266,0.0010045326570065458,0.0001770841434820068,72,2,9,9,0.0033088346121060465,5.081430648076441e-05,COMPLETE
45,0.9009324312210083,2024-08-22 02:08:38.312132,2024-08-22 02:11:49.212041,0 days 00:03:10.899909,0.2597697998795982,282,0.0003985933437944279,0.00010060005316834938,88,2,8,10,0.003880855339681231,0.00011796747291380846,COMPLETE
46,0.9459329843521118,2024-08-22 02:11:49.212912,2024-08-22 02:14:19.327778,0 days 00:02:30.114866,0.25283339073829514,242,0.00037536017933675637,0.00010286235241228717,89,2,10,10,0.004123017918780759,0.00011338313982519639,COMPLETE
47,0.9474098086357117,2024-08-22 02:14:19.328590,2024-08-22 02:17:27.095714,0 days 00:03:07.767124,0.20315324998567832,277,0.00017793158035318862,0.0003072509602663371,87,2,8,10,0.004724707273596128,3.4982758031017755e-05,COMPLETE
48,1.4688905477523804,2024-08-22 02:17:27.096589,2024-08-22 02:21:18.547972,0 days 00:03:51.451383,0.28717821720412146,257,4.757828460960196e-05,0.00017182763005441776,96,2,9,9,0.0037518294543321964,9.346945261235532e-05,COMPLETE
49,0.9361465573310852,2024-08-22 02:21:18.548832,2024-08-22 02:23:31.293322,0 days 00:02:12.744490,0.2495774498453148,270,0.0015294049224245365,9.564475860571485e-05,79,2,8,8,0.002743915345649329,6.371374992833646e-05,COMPLETE
